remove_correlation,augment,remove_outliers,split_method,train_model,MSE,R2,error
False,False,True,kfold,linear,898365010514.4047,0.6425651191223247,
False,True,True,kfold,linear,898365010514.4047,0.6425651191223247,
True,False,True,kfold,linear,1004757981641.1765,0.6139782257963762,
True,True,True,kfold,linear,1004757981641.1765,0.6139782257963762,
False,False,True,holdout,linear,1075591564373.5575,0.6721713717665636,
False,True,True,holdout,linear,1075591564373.5575,0.6721713717665636,
False,False,False,kfold,linear,1196890161786.7837,0.6324476415125714,
False,True,False,kfold,linear,1196890161786.7837,0.6324476415125714,
True,False,False,kfold,linear,1220247733756.3257,0.6280431875682538,
True,True,False,kfold,linear,1220247733756.3257,0.6280431875682538,
True,False,True,holdout,linear,1254668034387.447,0.6569970311890935,
True,True,True,holdout,linear,1254668034387.447,0.6569970311890935,
False,True,True,kfold,tree,1285385000842.4888,0.49547536396205916,
False,False,True,kfold,tree,1287587158842.4888,0.49478176619233577,
True,True,True,kfold,tree,1470626037658.1255,0.42970100888592755,
True,False,True,kfold,tree,1472308314153.852,0.429146839990154,
False,False,True,holdout,tree,1576953996470.3608,0.519361547102495,
False,True,True,holdout,tree,1576953996470.3608,0.519361547102495,
False,False,False,holdout,linear,1754318687330.6643,0.6529242642153184,
False,True,False,holdout,linear,1754318687330.6643,0.6529242642153184,
True,False,False,holdout,linear,1816506314271.8481,0.6406210170726021,
True,True,False,holdout,linear,1816506314271.8481,0.6406210170726021,
True,True,True,holdout,tree,1943993269642.81,0.46854829758897354,
True,False,True,holdout,tree,1946962965131.1658,0.4677364379248612,
True,False,False,kfold,tree,1963422650653.359,0.3865920937582235,
False,True,False,kfold,tree,1983270702716.2317,0.3646101886800392,
False,False,False,kfold,tree,1987399841808.9946,0.3637932766793135,
True,True,False,kfold,tree,1998364954125.95,0.3792833784672117,
False,False,True,kfold,nn,2602888162504.8228,-0.053320076289880045,
False,True,True,kfold,nn,2602888162504.8228,-0.053320076289880045,
True,False,False,holdout,tree,2605970673293.746,0.4844327912604345,
False,True,False,holdout,tree,2616489939348.792,0.48235165170903105,
False,False,False,holdout,tree,2677243146280.494,0.4703321913057542,
True,False,True,kfold,nn,2692249061287.0303,-0.05372322953472308,
True,True,True,kfold,nn,2692249061287.0303,-0.05372322953472308,
True,True,False,holdout,tree,2737130474262.1455,0.4584840370487663,
True,False,True,holdout,nn,2967772326570.5415,0.18866609264853718,
True,True,True,holdout,nn,2967772326570.5415,0.18866609264853718,
False,False,True,holdout,nn,3021471918380.8994,0.07908817151651981,
False,True,True,holdout,nn,3021471918380.8994,0.07908817151651981,
True,False,False,kfold,nn,3401080266165.8057,-0.09456122768786805,
True,True,False,kfold,nn,3401080266165.8057,-0.09456122768786805,
False,False,False,kfold,nn,3411712599984.6963,-0.10026400543388884,
False,True,False,kfold,nn,3411712599984.6963,-0.10026400543388884,
True,False,False,holdout,nn,4043168668083.7246,0.20009645310685176,
True,True,False,holdout,nn,4043168668083.7246,0.20009645310685176,
False,False,False,holdout,nn,4085294305527.249,0.19176228513799964,
False,True,False,holdout,nn,4085294305527.249,0.19176228513799964,
